STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00691_01,1,7502009740299,151395
02754_01,8,650240015366,5C109
02608_01,17,7501836009661,16A035
00031_01,3,7501088509810,AEL405
01523_01,3,7501752514218,15097
02635_01,2,7501287678034,1481027
00965_01,15,7501326000888,L040244
00443_01,3,7501075717174,380205
00334_01,3,7502009740374,153061
00369_01,1,7501573900375,SH1514
00067_01,1,7501122961017,129149
00836_01,3,7501124763022,1503181
01238_01,2,7501043111959,UA0163
02587_01,10,7501573900115,SK1502
