STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00062_01,2,7501037901030,502761
01945_01,7,7502208891891,508074
02678_01,16,7501842900099,601012
01024_01,4,7501109901609,AE1927
01774_01,7,7501046427576,1529300012
00261_01,1,300093116016,104872
00552_02,8,7502264950389,1517400034
00093_02,7,7501573904151,SK1524
01440_01,10,7501050631075,4LBTB059
00534_02,1,7503003134206,1511887
02591_02,10,7501092793038,11185255
02900_01,10,7501082242386,C555390
00373_02,1,7501349012943,N15N084
00093_02,2,7501573904151,SK1524
