STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02621_08,5,7502225092479,l16b0266
01241_01,10,7501070635756,15 5
01079_01,5,7501314703111,S50837
00098_09,3,7503001007052,C5778
00282_01,4,7502216798120,15C091
02602_05,10,7501573904847,SL1556
02697_01,2,736085904727,4014486
01479_06,10,7502261160262,60098
01506_01,3,8400000170,51027
00699_01,2,780083140588,14142809
00189_01,3,7501250812519,51060
00045_01,2,7501050600873,1505769
01376_01,10,7501201400659,89505
00463_01,30,7502001165151,1506118
00886_01,10,7501287660312,1502251A
00996_01,7,7501088617959,244576F
01499_01,10,7501258203586,152253
00657_21,30,7502240450636,150495
00276_01,1,7501050611404,1505904
00295_04,10,7501125132537,B15Y457
