STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02608_01,20,7501836009661,16f011
00613_01,2,7501088605857,16E23CA
00201_01,3,7501836000118,16G011
00612_01,2,7501088607806,15L09L
00443_01,4,7501075717174,380126
02568_01,7,780083141578,16341008
00699_01,2,780083140588,16141097
00699_01,1,780083140588,16141097
00794_01,2,7501082212150,655747
01431_03,12,7502009740664,162067
02737_03,2,7502225092486,L16E0773
00628_01,5,7502211784074,R1604120
00463_01,5,7502001165151,16030744
00886_01,4,7501287660312,150501A
#N/A,1,750221679197,16011
00469_01,4,7501088507670,AFQ315
