STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00177_01,3,7501573921479,SE1639
00369_01,2,7501573900375,SC1608
01304_01,6,7501092779278,11197437
00687_03,37,7501125195778,I16f243
02953_01,16,7502257270036,11178837
02872_01,3,7501298204970,m54838
02711_01,20,7501298213569,M61795
00833_01,14,7502009744570,161391
02504_01,3,7501125141379,L15T035
00426_01,4,7501573900122,SA1550
00002_03,2,7502009744891,160059
02839_03,3,7501089800039,15060065
02847_01,1,7502211783787,R1603594
00787_01,3,7501124855208,1509191S1A
00787_01,1,7501124855208,1511268
00624_01,6,3499320001359,5058114
00483_01,8,7501165000179,6MXA004
00884_01,20,7502227872123,RRC053
00348_01,1,7501122900788,W1315
02823_01,2,7502216791527,1.6E+77
00525_01,2,7501101612282,16B210V1
00034_02,1,7730979095907,22189
00015_01,1,891671002062,GQI009A
00177_01,1,7501573921479,SE1639
02736_01,3,7501088507472,16A21
00256_01,1,7501871720767,98119
02553_01,5,7501165006171,535390
00502_01,2,7501298234601,M56129
02905_01,2,7501108767893,M96T54
01881_01,3,7502223112223,15LZ07
