STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02604_11,5,7501349021440,16F297
00976_01,2,656599041216,151319
00937_01,2,7501298234908,M61119
00502_01,3,7501298234601,M60374
00938_01,4,7501298234700,M55316
02711_01,8,7501298213569,M60178
01431_03,2,7502009740664,161166
00665_02,2,7501672690085,749
01377_01,1,7501165001619,5F101A
00938_01,2,7501298234700,M55316
00209_01,4,7501125198045,N15F012
00280_01,1,7501258200028,160198
00437_03,1,7501537194130,5092462
00502_01,1,7501298234601,M60374
01795_01,3,7502209290075,1500105
02885_01,3,7501573900955,sc1616
