STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01454_02,3,7503001007199,T5781
02814_02,2,736085053876,4014882
01482_01,1,7501471853315,128229
00472_08,1,7501573902928,cd1615
02768_04,5,7503004908684,1603659
02885_01,1,7501573900955,SF1607
02768_04,2,7503004908684,1603859
00047_01,9,7501142911306,5084812b
02847_01,4,7502211783787,r1606062a
00040_01,8,736085011937,4014114
00675_01,8,7501328979564,6MXA001
00564_01,1,7501094914882,1706669
02792_01,3,7501037910025,656615
00186_01,4,7501037905588,507684D
02923_01,2,7501088619700,62275
01678_01,2,7501130713868,4604016
