STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00602_03,6,7501287623546,N73249
02808_01,12,7501109763436,16D133
00069_01,4,7502223112452,16DP07
02652_01,14,7502003388107,6338
02649_03,10,7501563370720,302212
00227_01,6,7501122960317,165930
00337_01,8,7501033920356,64210MC
02427_01,21,7501201401557,E77880
02578_01,9,7501871721160,78562
00369_01,6,7501573900375,SD1610
00565_10,10,7502227871676,RCN005
00552_02,1,7502264950389,1525100014
02841_01,3,780083139575,16142189
01889_01,1,7501644700040,15M618
02565_07,10,7501349021365,Q066363
01716_01,9,8020030053090,15173
00069_01,2,7502223112452,16DP07
