STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00030_03,1,780083148577,16140209
00371_01,1,785118752866,6D439
01488_01,2,7501043133548,1620200029
02647_01,60,7501573900177,SH1619
02582_01,10,7502003380149,6298
02769_04,15,7501825300601,497J
00565_11,1,7501563310269,604258
01852_01,6,7502009740497,163758
02863_01,2,7501287613516,176BB
01424_01,1,7501573900276,SE1610
00168_01,3,7501050615112,N160110
02591_04 ,6,7502009745027,163949
01493_08,1,75042356,CP00115
02811_04,48,7501349017122,K16Y373
02608_01,5,7501836009661,16F093
02796_05,15,7502227874202,RRG013
02552_01,6,7501165005563,10000681
00067_01,8,7501122961017,164747
