STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01881_01,10,7502223112223,16AM29
00794_01,3,7501082212150,655747
01928_01,10,7502227871799,RVN076
01024_01,10,7501109901609,AE4015
01497_13,10,7502254000339,S04282
00680_01,3,7501094910457,R01907A
00620_01,2,891671002277,15K025
00009_01,1,7501871720446,97662
00694_01,10,7501300408204,511598
01555_01,2,300090050139,912BC
00659_01,6,7501201448088,F47076
00735_01,5,7501050693806,6KTLD31001
00996_01,10,7501088617959,244578F
01499_01,20,7501258203586,160376
01248_01,3,736085280098,4014401
02840_01,2,7501188801227,134180
00855_01,10,7501842900884,513018
01881_01,2,7502223112223,16AM29
00483_01,5,7501165000179,5MXA018
02573_01,5,7501287621009,1548002
01053_01,4,8430308015901,41K
01730_01,7,7501314703227,S6B995
02427_01,5,7501201401557,F48661
02808_01,5,7501109763436,16D133
02023_01,1,7501088507755,702
00189_01,2,7501250812519,51060
0273_06,2,7501493866881,DF00214
00015_01,4,891671002062,GQE015B
02569_01,8,7502227870150,RRL093
02865_05,4,7501573900542,SL1428
00674_06,10,7501075718911,500616
02557_02,2,7501033953354,59054NR
