STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00483_01,8,7501165000179,6MXA003
00469_01,3,7501088507670,AFC315
02582_01,7,7502003380149,6082
00694_01,10,7501300408204,601036
00038_01,2,7501089800664,16030060
00855_01,12,7501842900884,513014
00119_01,1,7501043110778,15000
02468_01,8,3393370037385,FH8K
00327_01,5,7501122963028,6F0136
00700_01,1,780083140595,16142106
01499_01,5,7501258203586,160376
00612_01,1,7501088607806,15L09L
00657_21,60,7502240450636,160175
01754_01,4,7891106904353,MA02CAF
