STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02565_07,3,7501349021365,Q016050
00694_01,10,7501300408204,511598
00735_01,2,7501050693806,6KTLD31001
02772_01,1,7501258206723,152340
00937_01,10,7501298234908,M61119
00260_01,2,300090760045,M54027
00062_01,1,7501037901030,503189
00527_01,1,7501088606403,15F16JA
00369_01,3,7501573900375,SC1608
02809_02,3,7501537100452,6010043
02963_01,2,7501070903619,S1602135
02835_01,4,7502001162013,16030706
02815_01,2,7502009742149,155301
01361_01,13,7501008497562,5K003
