STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00886_01,4,7501287660312,1502251A
02762_04,5,7501349024885,N15T063
01774_01,1,7501046427576,1529300012
01774_01,3,7501046427576,1521600024
00348_01,2,7501122900788,W1307
02968_01,2,7501088504419,CH217
01440_01,15,7501050631075,4LBTB059
02139_01,1,7501125131011,A14Y737
01153_02,1,7502211784043,R1507644
00057_01,4,785118752521,5C844
01506_01,1,008400000170,5I027
01506_01,2,008400000170,5C022
00798_01,2,7501109904457,AC5715
02692_01,8,7502227870532,RVD090
00778_06,6,7501349024991,N156104
00052_01,10,7501446000553,160039
