STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00116_01,10,3499320001328,5021257
00798_01,4,7501109904457,AE2136
00798_01,1,7501109904457,AC7243
00119_01,2,7501672602989,382
02784_01,6,7501752513204,15136
01335_01,2,7501298216201,18188
01533_01,10,7501168810713,151103
01533_01,10,7501168810713,151105
01310_01,5,7503006698323,42303
00528_01,2,4046222418601,477214
00620_01,4,891671002277,15k025
00119_01,3,7501043110778,
02671_01,2,8430308010258,535351
02572_02,4,7502216796126,16A199
02837_01,2,7502216796003,16A296
00057_01,10,785118752521,5K2426
02607_04,2,7501672690399,1147
