STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02780_01,1,7501825302773,750H
02847_01,1,7502211783787,R1502411
00045_02,2,7502247372498,L15H1011
00165_01,4,7501094911126,K1119
01499_01,1,7501258203586,152253
00924_01,2,7501573900900,SF1508
02769_05,1,7502216798373,15G050
02608_01,4,7501836009661,16A035
02800_01,3,7501672602972,150
02587_01,4,7501573900115,SK1502
02880_11,2,7501471889680,130090
02092_01,3,750157390058,SG1528
00057_01,12,785118752521,00ZBB
01509_01,2,7503001007090,S5675
00021_01,5,7501165001800,5MXA009
