STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00782_02,1,7501098606127,3001128D00
02773_01,5,7501075713718,440046
02663_01,8,7501573900023,SK1556
00329_01,4,7506205804847,ZL6AEC
02630_01,15,7501573900405,SH1548
00034_02,8,7730979095907,21189
00226_01,9,7501250813363,50903
00327_01,5,7501122963028,681033
02603_01,15,7502227872192,RFD061
00833_01,4,7502009744570,161116
00880_01,2,7501088618109,246807F
02656_01,2,7501250829876,51010
02579_01,3,7501165006386,6MXA001
02587_01,10,7501573900115,SA1603
01897_13,3,7501125167232,U16F093
01271_01,3,7501493866331,BF043159
00327_01,2,7501122963028,6D0033
