STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00230_04,2,780083144302,16140713
02582_01,6,7502003380149,6298
00116_01,3,3499320001328,6021264
01880_01,2,7501349020856,A16U747
02769_04,3,7501825300601,497J
02485_01,1,7501070615277,472DS077
02587_01,10,7501573900115,SH1611
01862_01,10,7501471887679,154762
02853_09,44,7501349027329,b16a391
01886_06,10,7501573905417,ld1601
02788_01,50,7502216793934,16G155
02878_01,6,7501037980189,505858
00274_01,10,7501033953002,62274MC
02798_01,10,7501384503260,810116
00230_04,1,780083144302,16140713
01258_01,4,7501123011704,151056
