STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00700_01,3,780083140595,16140744
00469_01,4,7501088507670,AEM407
00561_01,4,7501037946246,654994
02835_01,10,7502001162013,16010233
01494_03,4,7501573902782,LK1520
01656_01,2,7501871721023,75953
00767_01,4,7501287619105,1502691C
00437_01,2,7501672690177,0000334
02570_01,8,7502227871508,RNP037
02591_02,1,7501092793038,11181271
02587_01,3,7501573900115,SA1603
00789_01,3,7501130713158,4601099
00373_06,8,7501573900733,SC1647
00294_06,4,7502216795044,16A322
02679_01,40,7502227872246,RL089
