STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02552_01,1,7501165005563,10000681
02627_03,2,7501075718881,670186
02607_04,1,7501672690399,1147
00496_01,10,7501573900320,SC1630
01897_13,50,7501125167232,U16A052
01550_02,3,7502264950549,18911
00735_01,4,7501050693806,6KTLD31001
00976_01,20,656599041216,151319
02603_01,11,7502227872192,RDF062
00966_01,1,7501082212198,559957
02281_01,2,7501098605755,72418
00057_01,3,785118752521,5F1670
00057_01,5,785118752521,5K2426
01505_01,3,7502009740367,160786
02601_01,2,7501109904792,AE1956
00334_01,1,7502009740374,152602
00496_01,8,7501573900320,SC1630
