STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01440_01,15,7501050631075,4LBTB059
02608_01,53,7501836009661,16A032
02654_01,6,7501009070450,F0148B043
01154_01,12,7501009071938,B3008B02
01368_01,13,7501326004947,1506801
02822_01,3,7501124811228,S0943
02921_01,1,7501094915940,S0659
02934_02,1,7501109913206,EIB5V00
03019_01,1,8027950210527,AAE7317
03020_01,1,8027950210473,AAE0489
02891_01,1,301780610015,4K040
00898_01,1,7501009072171,X4137X1
00906_01,1,7501324402998,JF982
00772_01,2,7501174603804,5MXA007
02281_01,19,7501098605755,71890
02281_01,10,7501098605755,71962
00038_01,7,7501089800664,15070073A
00319_01,2,7501050611053,1504661
01479_01,2,7501349018273,U15S084
01024_01,1,7501109901609,AC2585
01024_01,10,7501109901609,AC3617
00996_01,10,7501088617959,244577F
02762_04,1,7501349024885,N15T062
02815_01,12,7502009742149,152031
02914_01,7,8430308012658,3J
01053_01,3,8430308015901,34K
01774_01,1,7501046427576,1515900056
00469_01,28,7501088507670,AEG333
00694_01,44,7501300408204,508460
00886_01,18,7501287660312,1502251A
00675_01,23,7501328979564,5MXA011
00022_14,44,7502211788331,R1508575
02576_01,44,7501871720552,97935
,,,
,,,
,,,
,,,
,,,
,,,
,,,
