StockID,CANTIDAD,codigo de barras,Lote
00483_01,4,7501165000179,5MXA010
00371_01,15,785118752866,5D956
02823_01,4,7502216791527,15D152
02769_05,2,7502216798373,15C177
00712_06,10,7501573900450,SC1537
00337_01,10,7501033920356,46017MC1
01263_01,5,7501303437003,XB30BPXA
00369_01,4,7501573900375,SC1411
00531_01,6,7501122966203,116619
01241_01,9,7501070635756,148
02427_01,8,7501201401557,F43387
02427_01,1,7501201401557,F42536
02808_01,2,7501109763436,4C028
02872_01,1,7501298204970,M43702
00052_01,3,7501446000553,150145
00735_01,10,7501050693806,5KTLDA4002
00700_01,5,780083140595,15140741
01523_01,4,7501752514218,15063
00966_01,8,7501082212198,C284305A
02251_01,5,7501201401663,85305
02251_01,1,7501201401663,86227
01774_01,10,7501046427576,1505500023
00227_01,5,7501122960317,111247
00648_01,2,3499320001595,3015006
01897_08,5,7501842900013,505033
02193_01,6,7501033952784,50127MC
02193_01,2,7501033952784,53213MC
01258_01,6,7501123011704,119806
02769_05,8,7502216798373,15C177
02565_01,5,7503001007168,C5299
01897_08,2,7501842900013,505033
00371_01,20,785118752866,5D956
02769_05,2,7502216798373,15C177
