StockID,CANTIDAD,codigo de barras,Lote
02639_01,1,7501125102806,so24351
01029_01,4,7501123014743,4J0220
02225_01,1,7501409201096,AW201404
00260_01,1,300090760045,J02299
00030_01,2,7502006923534,5B121
00362_01,4,7501314702640,S5C713
02625_01,1,7501075717150,360035
01003_02,50,7501070612856,058BR062B
00124_01,5,7501287678171,1500301A
02611_01,15,7502211784180,R1505015
02919_01,8,7501165006331,3F525A
01492_01,3,7501871720606,21480
02972_01,1,7502227871683,RPT077
02807_01,7,7502211784241,R1503729
00015_01,1,891671002062,GPF061A
00015_01,2,891671002062,GPK098A
00467_01,9,785118752347,5D917
00030_01,1,7502006923534,5B121
02807-01,2,7502211784241,R1503729
01678_01,25,7501130713868,4502089
00124_01,4,750128768171,1500301A
00679_01,1,7501108712213,L21130
