STOCK ID ,CANTIDAD,CODIGO DE BARRAS ,Lote
00866_01,10,7501043163637,C681558
01782_02,3,7501098606103,2000278
02872_01,5,7501298204970,M50850
01885_09,5,7502211780915,R1502533
02193_01,8,7501033952784,53213MC
00337_01,4,7501033920356,48004MC
00256_01,6,7501871720767,97750
00526_01,2,7501088606304,14K131
00764_01,1,7501049721268,BJ201401
00871_01,3,7501043163057,1507600057
01003_02,2,7501070612856,058LQ060
01782_02,2,7501098606103,2000278
00111_01,5,7501089804099,14030045T
01897_04,4,7501125193026,U15J022
00231_05,1,780083144296,14143367
02225_01,2,7501409201096,AW201404
00111_01,5,7501089804099,14030045T
00871_01,3,7501043163057,1507600057
02945_02,4,7503001007076,S5395
02691_01,10,7502211780045,R1507332
02615_01,4,7502009741296,143440
00871_01,1,7501043163057,1507600057
00280_01,2,7501258200028,150261
00031_01,1,7501088509810,AEF335
02691_01,2,7502211780045,R1507332
02780_01,8,7501825302773,321F
01135_01,2,7501298216409,M46144
01912_02,3,7502211780373,R1501259
01003_02,6,7501070612856,058BR062B
01897_04,5,7501125193026,U15J022
01912_02,3,7502211780373,R1501259
03009_01,1,7501092774730,296952
02794_01,1,7502213040024,5C065
01912_02,2,7502211780373,R1501259
01135_01,1,7501298216409,M46144
