STOCK ID ,CANTIDAD,codigo de barras,Lote
00069_01,8,7502223112452,14JX12
00114_01,1,7501057005732,AA3732
00114_01,6,7501057005732,AA6930
00165_01,2,7501094911126,K1119
00290_01,10,7501033953507,54002MC
00362_01,1,7501314702640,S5F988
00362_01,3,7501314702640,S5D799
00421_01,3,7501082208160,C434608U
00494_01,2,7501049721145,BG201401
00496_01,1,7501573900320,SG1542
00786_01,3,3393370037415,GA3K
00871_01,2,7501043163057,1431100006
01029_01,4,7501123014743,4J0220
01494_01,1,7501075718706,690065
01523_01,7,7501752514218,15083
01641_01,5,7502009744440,143048
02230_01,3,7501088575396,AEG366
02468_01,4,3393370037385,F3644
02691_01,15,7502211780045,R1508453
02736_01,1,7501088507472,15E12
02773_01,5,7501075213718,440075
02945_02,4,7503001007076,S5503
