STOCK ID ,CANTIDAD,codigo de barras,Lote
00069_01,5,7502223112452,14JX12
00258_01,2,7501165006683,5MXA022
00290_01,5,7501033953507,54002MC
00334_01,6,7502009740374,152491
00376_01,5,7501825301561,980G
00419_01,3,7501082208702,556873
00493_01,2,7501049721114,BF201304
00494_01,2,7501049721145,BG201401
00511_01,2,7501752512917,13096
00679_01,6,7501108712213,L21130
00709_01,3,7502213142131,5358140704
00759_02,5,7501563370966,503339
00782_02,1,7501098606127,3000878c00
01003_02,24,7501070612856,058DRD063
01011_01,3,7501109901098,AC1497
01135_01,4,7501298216409,M50139
01135_01,3,7501298216409,M50140
01335_01,6,7501298216201,M42461
01437_03,2,7503000997644,15030302
01492_01,5,7501871720606,22126
01503_01,11,75018235300120,666G
01505_01,6,7502009740367,152394
01678_01,7,7501130713868,4507002
01678_01,8,7501130713868,4508012
01885_08,2,7502216792470,15B253
02007_01,4,7501037900521,458712
02023_01,2,7501088507755,585
02493_01,1,5034642020138,R701972
02493_01,2,5034642020137,R705554
02552_01,5,7501165005563,P1406525
02552_01,5,7501165005563,P1406524
02553_01,24,7501165006171,510827
02615_01,2,7502009741296,153935
02693_01,6,7502213040116,4M313
02754_01,5,650240015366,14K081
02807_01,18,7502211784241,R1508454
02845_01,4,7502009743856,152008
02845_01,3,7502009743856,152006
