STOCK ID ,CANTIDAD,codigo de barras,Lote
00114_01,1,7501057005732,AA9419
00138_01,8,7501303443530,XB30C47
00231_05,10,780083144296,15142154
00494_01,2,7501049721145,BG201402
00494_01,2,7501049721145,BG201401
00588_01,1,7501384502133,910715
00625_04,4,7501559619802,DM038A
00779_01,26,7502009744976,152154
01641_01,10,750200974440,151956
02245_01,1,7501109904440,AA9877
02780_01,8,7501825302773,921G
02781_01,2,7503001007137,S4667
00041_01,34,7501037908930,V0576U
00041_01,34,7501037908930,V0986U
