STOCK ID ,CANTIDAD,codigo de barras,Lote
00290_01,12,7501033953507,54002MC
00337_01,3,7501033920356,53204MC
00764_01,2,7501049721268,BJ201401
00779_01,6,7502009744976,152154
00885_01,10,7501258205870,151034
00971_01,1,7501088507007,AEJ404
00971_01,1,7501088507007,AEJ403
01492_01,6,7501871720606,21186
01641_01,8,7502009744440,151956
01782_02,5,7501098606103,2000312F00
01855_02,18,7501258205733,151414
02230_01,3,7501088575396,AEG367
02780_01,7,7501825302773,921G
02813_01,2,7503000883022,L12105AA
02815_01,14,7502009742149,154176
03000_01,3,7503007822338,EC70721
