StockID,CANTIDAD,codigo de barras,Lote
00023_01,7,7502003380538,5063
00030_01,1,7502006923534,5F584
00069_01,1,7502223112452,14JX12
00171_01,4,7501050623629,4YBWF002
00231_05,2,780083144296,15142154
00258_01,3,7501165006683,5MXA015
00290_01,10,7501033953507,54002MC
00388_01,4,7501072300102,5V0506
00866_01,7,7501043163637,C699345
01003_02,25,7501070612856,058DR064
01029_01,6,7501123014743,4J0220
01143_01,12,7501326002912,1503132
01795_01,2,7502209290075,1400272
01912_02,1,7502211780373,R1409623
02648_01,22,7503001007649,LG1509
02691_06,24,7502006923633,5D382
02691_06,3,7502006923633,SE482
02780_01,5,7501825302773,794F
02780_02,3,7502240450230,140910
02876_01,15,7502213040031,5F154
03000_01,10,7503007822338,EC70721
