StockID,CANTIDAD,codigo de barras,Lote
03001_01,3,7503007822345,EC70088
00449_01,3,7501406829002,C711317
00665_02,5,7501672690085,5010054
00055_01,10,7502211780359,R1505978
00138_01,3,7501303443530,XB30BBF
03000_01,2,7503007822338,EC70336
00764_01,3,7501049721268,BJ201401
02839_03,3,7501089800039,14010125
02677_01,2,7501088607950,33LK
02611_01,8,7502211784180,R1505015
00885_01,2,7501258205870,141866
00885_01,3,7501258205870,142036
01126_01,7,7501328980119,10892
01126_01,3,7501328980119,10862
01492_01,1,7501871720606,21186
01492_01,1,7501871720606,22124
00899_01,10,7703331157506,51485A
