StockID,CANTIDAD,codigo de barras,Lote
00171_01,2,7501050623629,4YBWF002
00258_01,2,7501165006683,5MXA022
00362_01,2,7501314702640,S5C713
00362_01,4,7501314702640,S5F988
00388_01,3,7501072300102,5V0506
00496_01,7,7501573900320,SG1542
00499_01,1,7501109790029,5B262
00779_01,1,7502009744976,140794
00779_01,1,7502009744976,151625
00794_01,1,7501082212150,557193
01003_02,24,7501070612856,058DR64
01029_01,7,7501123014743,4J0220
01375_01,8,7501303451559,52228A
01437_03,4,7503000997644,15030302
01754_01,9,7891106904353,BB10HVA
01855_02,9,7501258205733,151435
02618_01,15,7502009741784,151024
02735_01,1,7501088506871,14E12
02735_01,1,7501088506871,1.40E+13
02735_01,1,7501088506871,1.40E+13
02780_01,3,7501825302773,794F
