STOCK ID ,CANTIDAD,codigo de barras,Lote
00679_01,3,7501108712213,L21125
00679_01,1,7501108712213,L21128
00679_01,2,7501108712213,L211330
00679_01,7,7501108712213,L969795
01555_01,3,300090050139,3BH
01855_02,4,7501258205733,151414
02851_01,4,7501050610704,1504225
01143_01,2,7501326002912,1506117
01782_02,2,7501098602594,2000312F00
02639_01,2,7501125102806,515U885
01008_01,4,7501098621175,FC0175
01774_01,1,7501046427576,151800018
02023_01,1,7501088507755,618
00260_01,5,300090760045,M66649
00380_01,5,8020030053175,12177
