StockID,CANTIDAD,codigo de barras,Lote
00165_01,1,7501094911126,K1119
00187_04,4,7501125159350,14N913
00362_01,6,7501314702640,S5F988
00494_01,2,7501049721145,BG201401
00499_01,6,7501109790029,5B262
00764_01,3,7501049721268,BJ201401
00786_01,6,3393370037415,GA3K
01034_01,1,7501082212174,557228
01135_01,6,7501298216409,M50140
01437_03,1,7503000997644,15030302
01523_01,3,7501752514218,15083
01641_01,7,7502009744440,151550
01852_01,9,7502009740497,150537
01886_06,2,7501573905417,LL1412
02230_01,2,7501088575396,AEG366
02242_01,2,7501314701766,S4E575
02468_01,6,3393370037385,F3644
02615_01,3,7502009741296,153935
02618_01,24,7502009741784,151024
02945_02,5,7503001007076,S5503
