STOCK ID ,CANTIDAD,codigo de barras,Lote
00053_01,1,7501752514614,15100
00069_01,3,7502223112452,15JX41
00218_01,1,7501825300373,125h
00231_05,1,780083144296,15142154
00258_01,2,7501165006683,5MXA025
00266_01,1,7501070903411,I1508579
00467_01,10,785118752347,5D925
00499_01,2,7501109790029,15K002
00641_01,7,7501089810205,15030097
00641_01,1,7501089810205,15050077
00641_01,2,7501089810205,15050078
00786_01,10,3393370037415,GA3K
00885_01,2,7501258205870,151458
01008_01,4,7501098621175,FC0175
01262_01,3,7501314705542,S56156
01503_01,2,7501825300120,666G
01678_01,4,7501130713868,4507002
01678_01,3,7501130713868,4504158
01885_01,6,7502211788355,R1509662
01885_01,4,7502211788355,R1507218
02552_01,2,7501165005563,P1404319
02565_07,2,7501349021365,Q085506
02611_01,15,7502211784180,R1510971
02735_01,1,7501088506871,15F16
02786_01,20,300055501638,M45065
02876_01,10,7502213040031,5H220
02876_01,10,7502213040031,5H220
02999_01,6,7503007822321,EC70719
