StockID,CANTIDAD,codigo de barras,Lote
00030_01,2,7502006923534,SF584
00055_01,30,7502211780359,R1506182
00147_01,3,7501075717884,100015
00147_01,1,7501075717884,100034
00169_01,1,7502208891891,505700
00169_01,6,7502208891891,507918
00256_01,17,7501871720767,97751
00256_01,1,7501871720767,97654
00284_01,2,300093644045,AA6051
00362_01,2,7501314702640,S5F988
00467_01,5,785118752347,5D1117
00633_01,2,7502003384758,4710
00779_01,10,7502009744976,140794
00866_01,6,7501043163637,C696826
00871_01,10,7501043163057,1431100006
01029_01,3,7501123014743,4J0220
01492_01,5,7501871720606,22126
01503_01,9,7501825300120,213F
02230_01,1,7501088575396,AEE358
02468_01,5,3393370037385,F3652
02557_02,3,7501033953354,50072NR
02680_01,1,7502227870228,RFS067
02680_01,1,7502227870228,RFS068
