STOCK ID ,CANTIDAD,codigo de barras,Lote
00024_01,11,7503001007069,55389
00138_01,4,7501303443530,XB30BBF
00138_01,1,7501303443530,XB30C47
00293_06,5,7506022315038,5030141EH
00376_01,16,7501825301561,980G
00380_01,10,8020030053175,12177
00467_01,8,785118752347,5D925
00679_01,4,7501108712213,L21128
00866_01,1,7501093163637,C699343
00886_01,2,7501287660312,1501161A
01003_02,2,7501070612856,058DRD63
01143_01,3,7501326002912,14P3930
01492_01,4,7501871720606,22126
01555_01,1,300090050139,Z596C
01874_01,8,7501573903260,LG1507
02245_01,3,7501109904440,AA9876
02553_01,1,7501165006171,449775
02591_02,9,7501092793038,11154156
02611_01,24,7502211784180,R1410705
02611_01,1,7502211784180,R1505015
02629_01,6,7501075717914,460095
02773_01,2,7501075713718,440075
02807_01,1,7502211784241,R1508454
03018_01,1,7506358100001,1014484
