StockID,CANTIDAD,codigo de barras,Lote
02491_01,1,7501043160971,F75C
00055_01,2,7502211780359,R1506182
00885_01,4,7501258205870,151034
01754_01,5,7891106904353,BB10HVA
00376_05,1,7502009740657,151861
01262_01,3,7501314705542,S5B523
01262_01,5,7501314705542,S5F963
02780_02,8,7502240450230,140910
01754_01,6,7891106904353,BB10HVA
01885_09,10,7502211780915,R1502533
01492_01,4,7501871720606,22126
00069_01,10,7502223112452,14JX12
02780_02,10,7502246450230,140910
00169_01,7,7502208891891,507918
02007_01,4,7501037900521,455207
00866_01,12,7501043163637,C699345
03001_01,12,7503007822345,EC70579
02770_05,1,7501125104664,A15F439
