STOCK ID ,CANTIDAD,codigo de barras,Lote
00024_01,4,7503001007069,S5389
00031_01,24,7501088509810,AEK301
00135_01,5,7502209290068,M109F01
00186_01,4,7501037905588,502659
00256_01,17,7501871720767,97654
00284_01,15,300093644045,AA6051
00334_01,4,7502009740374,152418
00334_01,1,7502009740374,152491
00388_01,6,7501072300102,5V7354
00467_01,8,785118752347,5D925
00545_01,1,7501573921264,SK1452
00759_01,2,7501277060030,0944D14
00885_01,11,7501258205870,151458
01029_01,2,7501123014743,4J0220
01153_02,13,7502211784043,R1409517
01211_01,1,7503007822154,ES6P133
01366_01,2,7501094915988,S1913
01454_02,3,7503001007199,T5317
01492_01,2,7501871720606,22126
01795_01,5,7502209290075,1500105
01886_06,58,7501573905417,LL1412
02016_02,2,8054083005058,450242LX03
02245_01,1,7501109904440,AA9876
02281_01,4,7501098605755,71691
02693_01,6,7502213040116,5H227
02696_01,2,7502213040505,5A013
02735_01,11,7501088506871,15F15
02780_01,12,7501825302773,794F
02919_01,9,7501165006331,5F1870B
02961_01,6,7501303473117,WEL5F2
03009_01,6,7501092774730,301423
