StockID,CANTIDAD,codigo de barras,Lote
00055_01,3,7502211780359,R1506181
00167_01,2,7501050613965,LX20123
00186_01,1,7501037905588,502659A
00256_01,6,7501871720767,97820
00256_01,2,7501871720767,122075
00256_01,3,7501871720767,97820
00258_01,3,7501165006683,5MXA017
00290_01,8,7501033953507,51013MC1
00384_01,2,78511875282,4H1982
00449_01,2,7501406829002,C711317
00527_02,1,8400000361,5D064
00709_01,2,7502213142131,5358150301
00709_01,2,7502213142131,5358150301
00727_01,2,7501089804310,1406
00866_01,7,7501043163637,C696826
00871_01,5,7501043163057,1507600057
00884_01,5,7502227872123,RCN044
00884_01,10,7502227872123,RCN046
00899_01,8,7703331157506,51498A
00899_01,2,7703331157506,51498A
00899_01,2,7703331157506,51498A
01003_02,5,7501070612856,058DR063
01008_01,5,7501098621175,FH0011
01126_01,7,7501328980119,10871
01135_01,1,7501298216409,M50127
01431_03,4,7502009740664,152556
01437_03,3,7503000997644,15030302
01782_02,3,7501098606103,2.00E+06
01782_02,1,7501098606103,2.00E+06
01881_01,5,7502223112223,15ER18
01885_09,6,7502211780915,R1502533
01885_09,5,7502211780915,R1502533
01886_06,1,7501573905417,LL412
02245_01,1,7501109904440,UNE107
02245_01,1,7501109904440,UJE020
02245_01,1,7501109904440,UNE107
02493_01,3,5034642020138,R705554
02493_01,2,503464202038,R701972
02553_01,3,7501165006171,449775
02611_01,2,7502211784180,R1505015
02611_01,1,7502211784180,R1505015
02618_01,1,7502009741784,150198
02618_01,4,7502009741784,150198
02647_01,4,7501573900177,SK1404
02726_04,5,7502222840349,91151
02794_01,2,7502213040024,5C065
02807_01,15,7502211784241,R1507290
02807_01,5,7502211784241,R1507290
02919_01,5,7501165006331,3F525A
