StockID,CANTIDAD,codigo de barras,Lote
00015_01,2,891671002062,GPL030A
00015_01,2,841671002062,GPL030A
00069_01,10,7502223112452,14JX12
00069_01,7,7502223112452,14JX12
00069_01,5,7502223112452,14JX12
00169_01,8,7502208891891,507918
00231_05,6,780083144296,15142154
00388_01,2,7501072300102,405437
00449_01,3,7501406829002,C711317
00449_01,1,7501406829002,C711317
00449_01,3,7501406829002,C711317
00759_01,6,7501277060030,0944D14
00779_01,10,7502009744976,140794
00779_01,5,7502009744976,140794
00779_01,5,7502009744976,140794
00804_01,1,7501082212167,C199373D
00899_01,8,77033311575065,51498A
01006_01,3,4030571000389,134
01126_01,20,7501328980119,10901
01143_01,2,7501326002912,1503132
01492_01,3,7501871720606,22125
01912_02,7,7502211780373,R1409623
02564_05,4,7502222840202,087151
02647_01,3,7501573900177,SB1504
02680_01,10,7502227870228,RFS068
02736_01,3,7501088507472,15E12
02780_02,19,7502240450230,140910
02807_01,5,7502211784241,R1507290
02807_01,2,7502211784241,R1507290
02807_01,1,7502211784241,R1507290
