STOCK ID ,CANTIDAD,codigo de barras,Lote
00023_01,4,7502003380538,4466
00052_01,6,7501446000553,150380
00052_01,5,7501446000553,150234
00052_01,5,7501446000553,150357
00069_01,20,7502223112452,14JX12
00138_01,4,7501303443530,XB30CCF
00449_01,15,7501406829002,C734643
00779_01,12,7502009744976,150754
00866_01,15,7501043163637,C701482
01069_02,2,7501043100311,GM6413
01555_01,4,300090050139,3BH
01922_01,24,7501109904143,FCZSU00
02999_01,1,7503007822321,EC70932
02999_01,1,7503007822321,EC70719
