StockID,CANTIDAD,codigo de barras,Lote
00069_01,1,7502223112452,14JX12
00231_05,1,780083144296,15142154
00418_01,3,7501289511261,15HG055
00418_01,1,7501289511261,15HG055
00494_01,3,7501049721145,BG201401
00499_01,4,7501109790029,5B262
00779_01,7,7502009744976,151625
01143_01,5,7501326002912,1503132
01211_01,1,7503007822154,ES6P133
01503_01,10,7501825300120,213F
01795_01,2,7502209290075,1400272
01912_02,2,7502211780373,R1409623
02230_01,1,7501088575396,AEG366
02553_01,22,7501165006171,449775
02611_01,5,7502211784180,R1505015
02648_01,10,7503001007649,LG1509
02691_06,30,7502006923633,5D382
02735_01,3,7501088506871,1.40E+13
02780_02,5,7502240450230,140910
02807_01,2,7502211784241,R1507290
02808_01,5,7501109763436,15H101
02876_01,16,7502213040031,5F154
02919_01,2,7501165006331,5F1870B
02961_01,3,7501303473117,WEL5F2
