StockID,CANTIDAD,codigo de barras,Lote
00024_01,1,7503001007069,S5389
00055_01,32,7502211780359,R1506181
00165_01,5,7501094911126,K1119
00323_01,2,7501109763641,4l070
00376_01,3,7501825301561,086G
00384_01,1,785118752828,4H1982
00421_01,5,7501082208160,C331133G
00709_01,1,7502213142131,5358150301
00764_01,3,7501049721268,BJ201401
00779_01,7,7502009744976,151625
00786_01,2,3393370037415,CF2M
00786_01,2,3393370037415,B62Y
00866_01,8,7501043163637,C686805
00866_01,2,7501043163637,C696826
01029_01,4,7501123014743,4J0220
01135_01,4,7501298216409,M50128
01143_01,11,7501326002912,15031321
01375_01,3,7501303451559,52228A
01509_01,10,7503001007090,S5220
02225_01,20,7501409201096,AW201404
02597_01,1,7502222840295,1114
02608_01,5,7501836009661,15C054
02618_01,26,7502009741784,150198
02625_01,5,7501075717150,360035
02652_01,5,7502003388107,5074
02693_01,4,7502213040116,4M313
02780_02,5,7502240450230,140851
02807_01,35,7502211784241,R1507290
02808_01,2,7501109763436,15F015
02823_04,2,7502216790889,15G005
03001_01,5,7503007822345,EC70579
01885_09,14,7502211780915,R1502533
