StockID,CANTIDAD,codigo de barras,Lote
00069_01,3,7502223112452,15BN26
00171_01,1,7501050623629,4YBWF002
00171_01,8,7501050623629,4YBWF003
00194_01,2,7501258205221,140031
00323_02,3,7501825301875,807G
00323_02,1,7501825301875,807G
00735_01,8,7501050693806,5KTLDCC001
00735_01,6,7501050693806,5KTLDCC001
00735_01,3,7501050693806,5KTLDCC001
01263_01,6,7501303437003,XB30C6ZA
01754_01,3,7891106904353,BB10HVA
01795_01,5,7502209290075,M117F01
02225_01,4,7501409201096,AW201404
02225_01,2,7501409201096,AW201404
02468_01,8,3393370037385,F3644
02677_01,1,7501088607950,33LK
02735_01,3,7501088506871,1.40E+13
02770_05,4,7501125104664,A15F439
