StockID,CANTIDAD,codigo de barras,Lote
00004_01,3,7501070902384,S1505275
00171_01,5,7501050623629,4YBWF003
00261_01,2,300093116016,5F0216
00282_01,1,7502216798120,15C091
00324_01,7,750108224214,C368334A
00362_01,2,7501314702640,S5F988
00380_01,8,8020030053175,12177
00691_01,1,7502009740299,140755
00691_01,6,7502009740299,142400
00786_01,2,3393370037415,F0733
00786_01,1,3393370037415,F0740
00786_01,1,3393370037415,TX8T
00866_01,2,7501043166337,C696826
00871_01,5,7501043163057,1431100006
01135_01,10,7501298216404,M50140
01366_01,3,7501094915488,S1913
01555_01,3,30009650139,Z596C
01660_01,1,7501050613422,1501080
01922_01,5,75011094143,EFZT200
02225_01,1,7501409201096,AW201404
02552_01,2,7501165005563,P1406525
02651_01,1,7502003388091,4190
02696_07,10,7502238910197,403371
02770_05,3,75011251046664,A15F439
02807_01,16,7502211784241,R1507290
02876_01,18,7502213040031,5F154
03009_01,4,7501092774730,296952
