STICK ID ,CANTIDAD,CODIGO DE BARRAS ,Lote
00280_01,2,7501258200028,142580
00794_01,2,7501082212150,C195036E
01754_01,10,7891106904353,BB10GZP
02496_01,3,7501072350299,4SL26
00008_01,2,7501318635784,BXH2E21
01503_01,10,7501825300120,213F
02736_01,1,7501088507472,1.50E+13
00266_01,1,7501070903411,I1408341
02735_01,4,7501088506871,1.40E+13
00449_01,4,7501406829002,C711317
02553_01,4,7501165006171,449775
00290_01,1,7501033953507,46046MC1
00290_01,5,7501033953507,51013MC1
00266_01,1,7501070903411,I1504206
00727_01,2,7501089804310,14060160
01754_01,13,7891106904353,BB10GZP
00256_01,8,7501871720767,122075
02533_01,3,7501165006171,449775
00004_01,2,7501070902384,S1412724
01922_01,4,7501109904143,EIZTK00
01003_02,10,7501070612856,058DR063
03000_01,1,7503007822338,EC70336
00259_01,2,7501109900503,AA3151
01922_01,3,7501109904143,EIZTK00
01754_01,7,7891106904353,BB10GZP
00523_01,3,7501037950519,556647
01886_06,20,7501573905417,LL1412
00625_04,3,7501559619802,BM034A
02553_01,19,7501165006171,449775
00727_01,2,7501089804310,14060160
01922_01,2,7501109904143,EIZTK00
00266_01,1,7501070903411,I1504206
00135_01,2,7502209290068,M116F02
00258_01,5,7501165006683,5MXA017
02245_01,3,7501109904440,UNE095
00135_01,1,7502209290068,M116F02
00280_01,3,7501258200028,142580
00523_01,2,7501037950519,556647
01029_01,5,7501123014743,4J0220
00135_01,1,7502209290068,M116F02
01437_03,4,7503000997644,15030302
01730_01,2,7501314703227,S5E924
01885_09,15,7502211780915,R1502533
