STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01754_01,74,7891106904353,BB10GZP
01003_02,59,7501070612856,58FR068
00023_01,20,7502003380538,5627
00023_01,13,7502003380538,5471
00023_01,19,7502003380538,4466
02691_01,45,7502211780045,R1507332
02691_01,2,7502211780045,R1508453
00045_08,47,7502223112438,15KY42
00187_04,32,7501125159350,15Y055
00187_01,1,7501559604525,W42511
00885_01,29,7501258205870,151458
00779_01,28,7502009744976,150754
01450_05,27,7501573900337,SK1528
02647_01,26,7501573900177,SJ1506
01886_06,19,7501573905417,LC1507
01886_01,6,7502006923602,5K188
01492_01,24,7501871720606,22126
00679_01,24,7501108712213,l96795
00124_01,23,7501287678171,1501991A
00735_01,23,7501050693806,5KTLAW004
01855_02,11,7501258205733,151640
01855_02,10,7501258205733,151744
00290_01,20,7501033953507,54002MC
00871_01,21,7501043163057,1507600056
01008_01,20,7501098621175,eabe
02786_01,20,300055501638,M45065
00093_02,19,7501258200165,SK1524
01262_01,18,7501314705542,S5G156
01912_02,19,7502211780373,R1510852
02615_01,18,7502009741296,154766
02780_01,16,7501825302773,689G
02780_01,22,7501825302773,750H
02648_01,14,7503001007649,LG1509
02696_01,2,7502213040505,5G269
02696_07,12,7502238910197,502241
01881_05,1,7502009745584,152462
00786_01,12,3393370037415,GA3K
01885_01,1,7502211788355,R1507218
01885_03,4,7501573902614,LG1514
01885_03,8,7501573902614,LH1501
01555_01,8,300090050139,3bh
03000_01,10,7503007822338,EC71047
00334_01,10,7502009740374,153008
00700_01,10,780083140595,15142669
01503_01,8,7501825300120,666G
01550_01,8,748499100190,18704
02565_01,9,7503001007168,c5653
00324_01,8,7501082224214,559314
01523_01,7,7501752514218,15103
01905_02,8,7503003134268,1503525
00272_01,8,7502209290105,150427
02844_01,7,7501573904212,sk1525
