STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02772_01,4,7501258206723,161062
01154_01,10,7501009071938,B3010B01
01154_02,42,7501299370414,L09070
00290_01,31,7501033953507,65001MC
01436_01,40,7501326001977,M027798
02942_01,18,8430308026518,100K
02664_01,30,7503003738879,150932
01452_01,60,7503001007250,T6490
00804_01,7,7501082212167,652470
02783_01,2,7502211780724,R1507346
02931_01,10,7501033957871,1511872
00208_01,50,7501050610674,M025810
01058_01,20,7501201400352,F52012
00252_01,60,7501298205021,M61667
01160_01,50,7501298205038,M61779
00531_01,35,7501122966203,148391
01135_01,30,7501298216409,18570
00237_01,5,7503004908820,1508096
02788_01,5,7502216793934,16G155
00177_01,20,7501573921479,SE1639
02950_01,48,8430308001379,74K
00227_01,20,7501122960317,176461
01503_01,50,7501825300120,162J
02668_01,32,785118752705,6D480
00057_01,2,785118752521,6A66
01877_01,9,7502216793729,15K201
02225_01,23,7501409201096,M034976
02953_01,50,7502257270036,11245867
00292_01,60,7501573934172,SG1608
02659_01,50,7502227871416,RR056
00082_01,20,7501089802026,15110094
00028_01,10,7501089802033,16080183
00028_01,5,7501089802033,15120058
00327_01,60,7501122963028,1.63E+05
01094_01,10,7501092778226,11245083
00497_01,48,8901120002597,M605644
02573_01,8,7501287621009,1600241B
00941_01,60,7501326000925,M025143
01190_01,70,7501033954412,69231MC
02840_01,10,7501188801227,151871
00607_01,15,7501188801968,154768
00607_01,10,7501188801968,154769
02570_01,5,7502227871508,RNP037
02835_01,15,7502001162013,16051237
01868_01,50,7501101654985,16G215V1
00102_01,45,7501088507502,AFK330
02861_01,25,7501123013302,170399
00055_01,10,7502211780359,R1605880
02660_01,36,7502001162426,C16050535
00525_01,28,7501101612282,16F247V1
00442_01,20,7501122969808,164108
00442_01,10,7501122969808,140943
00798_01,20,7501109904457,AC5717
00622_01,46,7501298269009,M62745
00502_01,70,7501298234601,M62753
00343_01,90,7501298234809,M63138
00937_01,90,7501298234908,M62748
00938_01,90,7501298234700,M62755
00135_01,20,7502209290068,1500256
01795_01,15,7502209290075,1500255
02876_01,100,7502213040031,6D090
00496_01,50,7501573900320,SH1651
02591_02,50,7501092793038,11238215
02635_01,20,7501287678034,1601301A
02801_01,2,7502216792197,16G137
01867_01,35,7501573900627,SJ1647
02872_01,100,7501298204970,M62405
01897_13,75,7501125167232,U16G105
01897_13,35,7501125167232,U16G066
01263_01,1,7501303437003,XB30DXBA
00735_01,100,7501050693806,6KTLD31001
01641_01,21,7502009744440,164647
00779_01,15,7502009744976,160522
02657_01,40,7501258207584,161423
00643_01,5,7501075713800,620876
00459_01,5,7501089809469,16060139
00767_01,15,7501287619105,1503361B
01922_01,30,7501109904143,FJZSJ00
00231_05,1,780083144296,16142393
02582_01,180,7502003380149,6547
00641_01,30,7501089810205,16040098
00348_01,45,7501122900788,W1306
00914_06,100,7501349024731,N16Y059
00011_01,30,7501092701019,11245499
02698_01,20,7501109901616,AE8047
02738_01,1,5034642032575,6ZP5320
00789_01,50,7501130713158,4608084
00067_01,15,7501122961017,164747
00009_01,54,7501871720446,98883
00009_01,10,7501871720446,98671
00009_01,6,7501871720446,98670
02847_01,60,7502211783787,R1608220
01920_01,60,7502001169289,16030510
02143_01,60,7501285600419,5275701
01258_01,20,7501123011704,177435
01075_01,10,7501092773511,11242135
00037_01,17,7501089800060,16080150
00038_01,20,7501089800664,16090156
00038_01,5,7501089800664,16060113
02193_01,28,7501033952784,69205MC
02924_01,72,7501094917012,S2248
00111_01,60,7501089804099,16020126
02485_01,20,7501070615277,472FS099
