STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01437_04,1,7502222840301,192151
02841_01,1,780083139575,14143374
02899_01,1,7501108767923,l92679
00804_01,1,7501082212167,557161
00546_01,1,785120753349,5J2261
00674_10,3,7501672602934,27
01079_01,3,7501314703111,S41960
00815_01,3,7501094910556,T2936
01779_03,2,7501384503000,8511214
00231_05,2,780083144296,15142154
00643_02,4,7503004908042,1509584
01945_01,2,7501075717860,650054
01945_01,1,7501075717860,650065
01893_01,2,721734682019,TH68201
00782_02,1,7501098606127,3001042D00
00463_01,6,7502001165151,15061182
01867_01,8,7501573900627,SK1442
00976_01,8,656599041216,151319
00038_01,1,7501089800664,14100090
00038_01,1,7501089800664,15070073A
00659_01,2,7501201448088,F47076
00642_01,1,780083142827,15340612
02773_01,8,7501075713718,440145
00369_01,10,7501573900375,SH1514
01488_01,9,7501043133548,1514700048
01488_01,1,7501043133548,1518700046
00057_01,10,785118752521,4J2469
01432_03,3,7502211781479,R1503631
00624_01,1,3499320001359,4058023
00896_01,9,7501672690542,4111831
02552_01,1,7501165005563,P1404319
02552_01,6,7501165005563,P1410969
02843_01,4,7502227870716,RVY001
01424_01,1,7501573900276,SA1505
01424_01,2,7501573900276,SB1505
02811_05,5,7501559602453,AM034B
02504_01,1,7501125141379,L15U004
02504_01,11,7501125141379,L15U013
