STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00252_01,10,7501298205021,M61667
00848_01,20,7501318612082,3780621
00182_05,70,7503003134664,1610271
00225_01,88,7501201400581,92166
00225_01,8,7501201400581,91588
02795_01,80,7501471886863,154360
01862_01,68,7501471887679,I54762
00294_08,40,7501672602941,1894
00131_04,10,7501573900535,SJ1610
02587_01,45,7501573900115,SI1604
02659_01,5,7502227871416,RR056
00909_01,4,7501050608718,1506059
00909_01,15,7501050608718,L048866
00373_06,42,7501573900733,SI1639
00425_01,6,7501752514119,15I11
02855_01,11,656599040486,ES15ENG01
02855_01,2,656599040486,ES15ENG03
02918_01,59,7501124816247,BH789
00910_02,45,7501050612395,M002091
00910_02,55,7501050612395,M036181
00910_02,4,7501050612395,M029691
00469_05,88,8901120009114,M600934
00938_01,35,7501298234700,M62755
00515_01,260,7501573900283,SE1628
00515_01,90,7501573900283,SH1636
00539_01,10,7501287669001,1601531A
00623_01,20,7501871730315,97317
01479_01,372,7501349018273,U16T003
00665_01,46,7501439310089,604048
02657_01,10,7501258207584,161423
00534_01,46,7503004908714,1607988
00534_01,231,7503004908714,1607988
00675_01,130,7501328979564,6MXA006
00330_01,40,7501825300946,490J
00910_02,89,7501050612395,M013698
00910_02,200,7501050612395,M029691
00910_02,137,7501050612395,M033529
