STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02837_01,10,7502216796003,16H107
02663_01,10,7501573900023,SD1621
02630_01,20,7501573900405,SF1634
02915_01,8,7501318600508,BXH60C1
02796_05,50,7502227874202,RRG017
00626_01,32,7501033923234,66207MC
00938_01,10,7501298234700,M62755
01494_03,2,7501573902782,LG1601
02627_06,18,7501537102319,6101951
00034_02,10,7730979095907,22345
02747_01,10,7501092776413,438427
00469_01,20,7501088507670,AFH379
00599_05,10,7501075721058,A90025
00186_01,10,7501037905588,507684
02853_09,40,7501349027329,B16Y591
02604_11,20,7501349021440,16J419
01656_01,10,7501871721023,77537
00680_01,10,7501094910457,R04647A
01920_01,20,7502001169289,16030510
00054_09,20,7501109750412,16J088
00252_01,20,7501298205021,M63761
00373_02,20,7501349012943,N16J066
01160_01,20,7501298205038,M61779
01431_03,40,7502009740664,162277
01868_01,20,7501101654985,16F233V1
02664_01,80,7503003738879,160491
02885_01,40,7501573900955,SF1607
02872_01,20,7501298204970,M62405
00327_01,30,7501122963028,6G0184
00965_02,50,7501326000864,M007345
00965_02,9,7501326000864,L040243
00965_02,3,7501326000864,1506617
01094_01,32,7501092778226,11245083
00206_01,20,7501298204987,M64311
00377_01,70,7501258205092,160283
02931_01,24,7501033957871,61111MC
02788_03,30,7502247373655,L16C0329
02568_01,20,780083141578,16341805
02762_04,80,7501349024885,N16U008
02953_01,50,7502257270036,11178838
01479_01,100,7501349018273,U16U043
00914_06,100,7501349024731,N16Y059
00657_21,192,7502240450636,160173
00371_01,90,785118752866,6D473
02809_02,48,7501537100452,6051185
02929_02,24,5000456010740,5J83523B
02769_04,189,7501825300601,499J
