STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01304_01,60,7501092779278,11218837
00327_01,14,7501122963028,6G0184
00327_02,20,7501122963028,162724
01897_11,30,7503004908776,1606743
02924_01,20,7501094917012,S2246
02953_01,20,7502257270036,11178838
00169_01,30,7502208891891,603415
00201_01,20,7501836000118,16H096
02814_02,8,736085053876,4014882
00687_01,20,7501349011175,I16U461
01454_02,40,7503001007199,T6424
00361_01,10,7501573900191,SB1623
00787_01,10,7501124855208,1604336
01094_01,10,7501092778226,11245083
00502_01,40,7501298234601,M62753
01510_01,20,1200005200231,517
02845_01,20,7502009743856,161887
02602_01,40,7502240450070,160171
02568_01,14,780083141578,16341805
02603_01,10,7502227872192,RFD063
02885_01,30,7501573900955,SF1607
2762_03,200,7502009744884,162465
02593_04,72,7501573902850,SF1610
00209_01,10,7501125198045,N16A060
00337_01,10,7501033920356,66246MC
02664_01,20,7503003738879,160490
01945_05,20,7502227870129,RLN046
00561_04,30,7501349029132,N16S026
02692_01,50,7502227870532,RVD010
02763_04,80,7501349028647,U16G047
02575_09,45,7501349025806,N16U041
00657_21,192,7502240450636,160175
02762_03,180,7502009744884,162465
00914_06,100,7501349024731,N16Y059
