STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02784_01,2,7501752513204,15013
02711_01,3,7501298213569,m54593
00186_01,1,7501037905588,503901
01550_01,10,748499100190,18704
00937_01,2,7501298234908,M55314
02608_01,2,7501836009661,16A035
00754_01,2,7501201490797,89607
02629_01,2,7501075717914,460175
00510_01,4,7501390911226,505134
02808_01,1,7501109763436,15K129
01494_03,4,7501573902782,LK1520
01493_08,10,75042356,CP01614
02393_01,3,7501088507854,AEK385
02773_01,1,7501075713718,440145
00371_01,26,785118752866,5k2583
00892_01,1,7501672690313,4121966
00892_01,1,7501672690313,5020427
02664_01,1,7503003738879,150366
02678_02,10,780083141455,15143464
01304_01,10,7501092779278,11129969
00534_01,10,7503004908714,1510761
02797_06,25,7501537102180,5092348
02570_13,4,7501349024861,150049
02803_03,8,7501537163266,6010001
00861_04,10,7502247372238,L15C0270
00712_05,3,7501573900443,SL1525
01479_01,20,7501349018273,U15S084
00657_10,30,7501842900983,606003
00227_01,3,7501122960317,127474
00227_01,2,7501122960317,125731
00168_01,1,7501050615112,M460113
00687_01,12,7501349011175,L15D163
00783_01,1,7501258203395,141782
02847_01,3,7502211783787,R1502411
02976_01,2,656599041018,151241
01011_01,4,7501109901098,AC4989
01436_01,1,7501326001977,1505171
00687_01,2,7501349011175,L15D163
00021_01,5,7501165001800,5MXA008
00665_02,2,7501672690085,2010054
00674_01,8,7501075713770,500246
02582_01,4,7502003380149,5711
01098_01,8,7501471888393,128907
01854_01,20,7501842900341,511013
00206_01,5,7501298204987,M54840
00169_01,20,7502208891891,505699
02657_01,1,7501258207584,152278
01930_01,1,7502223112179,15BN35
02835_01,1,7502001162013,15061125
02660_01,8,7502001162426,C15060767
01510_03,3,7503001007113,C5556
00966_01,1,7501082212198,C284305A
01550_01,6,748499100190,18704
00833_01,4,7502009744570,152732
00861_04,5,7502247372238,L15C0270
01126_01,2,7501328980119,30197
01126_01,4,7501328980119,30199
02629_01,1,7501075717914,460175
01930_01,3,7502223112179,15BN35
00924_01,10,7501573900900,SF1508
00699_01,1,780083140588,14142809
00779_01,2,7502009744976,152154
00546_01,2,785120753349,5D1175
02694_01,7,7501349028999,K15M199
00510_01,2,7501390911226,505134
02627_05,1,7501471888843,127293
02914_01,3,8430308012658,3J
00371_01,6,785118752866,5K2583
01550_01,3,748499100190,16704
00128_03,4,7501349015074,115Y779
02784_01,2,7501752513204,15013
1897_14,5,7501672601715,194
02963_01,1,7501070903619,S1511905
01479_01,10,7501349018273,U15S084
01304_01,10,7501092779278,11129969
00227_01,2,7501122960317,127474
00371_01,4,785118752866,5K2583
00283_01,6,7502227870259,RRD093
00021_01,4,7501165001800,5MXA008
00674_01,5,7501075713770,500246
00128_03,5,7501349015074,115Y779
00510_01,1,7501390911226,505134
02491_01,1,7501043160971,9220
01494_03,2,7501573902782,LK1520
00628_11,10,7502216790179,15A159
00938_01,22,7501298234700,MS4429
02663_01,10,7501573900023,SE1450
02663_01,1,7501573900023,SJ1430
02663_01,8,7501573900023,SJ1431
00657_10,20,7501842900983,606003
01479_01,10,7501349018273,U15S084
02568_01,1,780083141578,15341503
00292_06,13,7502216793347,15L028
00371_01,1,785118752866,SK2583
02914_01,1,8430308012658,3J
02762_04,30,7501349024885,n15t063
02592_01,10,7501043149921,K5010
01126_01,1,7501328980119,30199
01126_01,1,7501328980119,30197
00712_05,2,7501573900443,SL1525
00546_01,6,785120753349,SD1175
00884_04,10,7501277092314,2790L15
1897_14,2,7501672601715,194
02769_06,10,7502001162976,15112230
01510_03,2,7503001007113,C5556
01450_05,30,7501573900337,SK1528
01304_01,7,7501092779278,11129969
00692_09,8,7501349025677,n15u051
00692_08,1,7501258210997,150495
01479_01,2,7501349018273,U15S084
00793_01,2,637420200804,150231
00793_01,2,637420200804,150104
00674_01,4,7501075713770,500240
00679_01,2,7501108712213,L96795
00055_01,15,7502211780359,R1503613
02682_04,3,7502216796331,15K192
00169_01,10,7502208891891,505699
01505_01,10,7502009740367,152710
01304_01,5,7501092779278,11129969
