STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01285_01,2,3499320002448,15G033B
01310_01,1,7503006698323,26OCT15/17
01377_01,6,7501165001619,5F101A
01432_03,3,7502211781479,R1507381
01523_05,2,7501672690214,767
00252_01,4,7501298205021,M55929
02587_01,3,7501573900115,SL1502
02798_01,3,7501384503260,470114
02801_01,2,7502216792197,15F182
00463_01,6,7502001165151,15061183
00510_01,1,7501390911226,505134
00610_01,1,7501072340665,5H179NC
00613_01,1,7501088605857,15F05BA
00613_01,3,7501088605857,15F05BB
00623_01,3,7501871730315,98604
00694_01,4,7501300408204,508463
00775_01,3,7501088505485,AEJ723
00886_01,2,7501287660312,1502251A
00093_02,15,7501573904151,SL1403
