STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02899_01,1,7501108767923,I92679
02777_02,1,7501644791956,402004
02139_01,1,7501125131011,A14J799
01493_02,1,780083144814,1514079
01432_03,1,7502211781479,R1503631
00852_01,1,7501075715095,740175
00057_01,25,785118752521,5C844
01479_01,24,7501349018273,U15D011
00022_14,15,7502211788331,R1508575
00886_01,14,7501287660312,1502251A
00510_01,11,7501390911226,509269
02885_12,7,7502261160385,50565A
00227_01,6,7501122960317,127474
00687_01,6,7501349011175,I15D163
02930_01,6,7501109920655,EK12600
00467_01,5,785118752347,5J2367
02427_01,5,7501201401557,F47627
02663_01,2,7501573900023,SB1555
02663_01,2,7501573900023,SK1554
02663_01,1,7501573900023,SJ1431
00779_01,4,7502009744433,150754
01490_05,4,7501537102388,5102563
02834_01,4,7502211784005,R1502517
00186_01,3,7501037905588,5039016
02649_01,3,7501293200335,16A0047
02694_01,3,7501349028999,K15M199
002837_01,3,7502216796003,156051
00368_01,1,7501300408228,409582
00368_01,1,7501300408228,507358
00469_01,2,7501088507670,AEK402
00539_01,2,7501287669001,1503491A
01912_02,2,7502211780373,R150852
02092_01,2,7501573900580,SG1528
02281_01,2,7501098605755,71691
02976_01,2,656599041018,151241
00004_01,1,7501070902384,S1508546
00269_01,1,7501277060047,1119E15B
00426_01,1,7501573900122,SF1419
00449_01,1,7501406829002,C734643
