STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02643_04,20,7502231320337,150307
00847_01,8,7501559610908,LM035A
00128_03,1,7501349015074,I15Y119
00128_04,5,7501349025073,I15T675
00128_05,1,7501125191824,I14T492
02798_01,4,7501384503260,6481115
02811_01,3,7501559611387,LM013A
02811_01,1,7501559611387,KM050A
00687_01,4,7501349011175,I15D163
00052_01,3,7501446000553,160039
00527_01,2,7501088606403,15F16JA
00886_01,2,7501287660312,1502251A
001375_01,1,7501303451559,52228A
02579_01,1,7501165006386,5MXA012
00545_01,1,7501573921264,SK1504
00559_01,1,7501314704552,54C386
