STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00836_04,22,7841141003436,60222
00836_04,11,7841141003436,59588
01341_01,10,7501250813530,50905
01341_01,23,7501250813530,50777
02953_01,10,7502257270036,11178838
02953_01,4,7502257270036,11163215
02604_03,7,7501125102370,15T211
00855_01,17,7501842900884,513005
02801_01,10,7502216792197,16A025
02754_01,5,650240015366,50109
02754_01,5,650240015366,15J125
02621_08,7,7502225092479,L1680268
01271_01,3,7501493866331,BF4315Q
01241_01,6,7501070635756,155
02737_01,2,7502213041106,5J254
02485_01,5,7501070615277,472MR025
02656_01,6,7501250829876,50010
02834_01,2,7502211784005,R1410843
02834_01,10,7502211784005,R1512315
00051_02,5,7501559621300,IH032A
00613_01,5,7501088605857,15J14CC
00680_01,5,7501094910457,R01908B
00782_02,4,7501098606127,3001128D00
00782_02,1,7501098606127,pclx
01450_05,5,7501573900337,SK1528
00719_01,4,7501559604259,W42831
01494_03,1,7501573902782,LK1520
01494_03,2,7501573902782,LB1611
00165_01,4,7501094911126,K1119
00021_01,2,7501165001800,5MXA009
02611_01,2,7502211784180,R1511152
00206_01,1,7501298204987,M55848
02587_01,1,7501573900115,SK1502
02731_01,3,7501314702701,S5H249
02798_01,2,7501384503260,6481115
0377_01,7,7501258205092,160279
00628_11,29,7502216790179,16A134
00886_01,2,7501287660312,1502251A
00098_09,6,7503001007052,C5778
00996_01,14,7501088617959,244576F
00996_01,1,7501088617959,244577F
01304_01,20,7501092779278,11189983
01377_01,1,7501165001619,5F101A
01436_01,2,7501326001977,L046531
01552_01,1,3499320001946,5074118
02393_01,2,7501088507854,AEN348
02582_01,4,7502003380149,6074
02680_04,2,7502009740558,152830
02726_08,1,7501125103599,c15s289
02775_04,3,7502001165533,15102151
02775_04,2,7502001165533,15112317
02968_01,1,7501088504419,CH217
00679_01,2,7501108712213,L96798
00778_01,6,7502009744433,152073
00798_01,2,7501109904457,AE0545
00086_01,2,7501318643482,bxh6s41
