STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02953_01,20,7502257270036,11163215
02557_02,19,7501033953354,53019NR
01774_01,8,7501046427576,1521600024
01774_01,1,7501046427576,1529300012
01271_01,5,7501493866331,BF4315Q
00004_01,5,7501070902384,S1508546
02798_01,4,7501384503260,6481115
01024_01,3,7501109901609,AC2585
02579_01,3,7501165006386,5MXA0112
02634_01,3,780083139568,14142688
00327_01,3,7501122963028,6A003
00038_01,3,7501089800664,15070075
01874_01,2,7501573903260,R1503759
02674_09,2,8400007698,50000
02775_01,2,7501836000071,15102151
00099_01,2,7501349021037,i15A754
01238_01,1,7501043111959,UH0255
00128_01,1,7501349025080,I15Y779
01310_01,1,7503006698323,26OCT15/17
00191_01,1,7501299306468,K10235
02885_12,1,7502261160385,50565A
00559_01,1,7501314704552,54C386
