STOCKID,CANTIDAD,CODIGO BARRA,LOTE
02802_01,26,7501573900146,SJ1531
00294_06,11,7502216795044,15K132
00294_06,2,7502216795044,15F120
00327_01,9,7501122963028,6A003
00327_01,1,7501122963028,6A0003
02557_02,10,7501033953354,59054NR
00093_02,9,7501573904151,SL1403
02953_01,6,7502257270036,11163215
00111_01,6,7501089804099,15090160
01774_01,5,7501046427576,1530800059
00996_01,3,7501088617959,244576F
02847_01,3,7502211783787,R1502411
00256_01,1,7501871720767,97821
00256_01,1,7501871720767,98215
01506_01,3,008400000170,51027
00804_01,2,7501082212167,557161
02801_01,2,7502216792197,15F182
02587_01,2,7501573900115,SK1502
02579_01,2,7501165006386,5MXA0112
00114_01,2,7501057005732,AC6423
00614_01,1,7501089809155,15090092
00613_01,1,7501088605857,15F05BB
00559_01,1,7501314704552,S4C386
00418_01,1,7501289511261,16HG001
00319_01,1,7501050611053,L046521
