STOCKID,CANTIDAD,CODIGO BARRAS,LOTE,
01431_03,34,7502010000000,16116,
00131_04,5,7501573900535,SD1672,
00371_01,8,785118752866,6A165,
02627_03,10,7501075718881,670186,
01436_01,4,7501326001977,M004360,
02788_01,5,7502216793934,16A091,
00327_01,2,7501122963028,6C0072,
00369_01,3,7501573900375,SC1608,
00525_01,4,7501101612282,16B210V1,
00680_01,4,7501094910457,R01907A,
01488_01,2,7501043133548,1601300016,
00348_01,2,7501122900788,W1306,
02840_01,1,7501188801227,134180,
00957_04,1,7501537102081,409325,
