STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01897_13,31,7501125167372,U15G018
01479_06,13,7502261160262,60078
00687_01,10,7501349011175,I150163
00938_01,10,7501298234700,M54429
02643_04,8,7502231320337,15D307
02678_01,8,7501842900099,601006
00295_04,6,7501125132537,B15Y457
00833_01,5,7502009744570,152732
00855_01,3,7501842900884,513005
00045_01,2,7501050600873,150569
00700_01,2,780083140595,15142669
00815_01,2,7501094910556,T2936
01505_01,1,7502009740367,152713
02281_01,1,7501098605755,71890
02777_02,1,7502215787415,407015
02976_01,1,656599041018,151241
00545_01,1,7501573921564,SK1504
