STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00614_01,1,7501089809155,15090092
00274_01,1,7501033953002,47130MC1
02587_01,1,7501573900115,SK1502
00227_01,1,7501122960317,127474
00700_01,2,0780083140595,15142669
00093_02,3,7501573904151,SK1524
00045_01,3,7502247374256,L15H1011
01505_01,3,7502009740367,152713
00815_01,5,7501094910556,T2936
00938_01,6,7501298234700,M54429
01075_01,7,7501092773511,11162040
02656_01,8,7501250829876,50010
00111_01,8,7501089804099,15090054
01479_01,11,7501349018273,U15D011
02737_01,17,7502213041106,5J254
00884_01,42,7502227872123,RRC049
00226_01,43,7501250813363,50598
01897_13,48,7501125167232,U15G018
