STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02811_05,3,7501559602453,AM034B
00292_06,20,7502216793347,15L028
00615_01,7,7501871720507,97847
02930_01,3,7501109920655,EKL2600
01258_01,2,7501123011704,129814
02788_01,10,7502216793934,15G083
01304_01,2,7501092779278,11129969
00169_01,13,7502208891891,505699
02919_01,3,7501165006331,5F1937A
02682_04,1,7502216796331,15K192
01494_03,1,7501573902782,LK1520
00363_01,10,7501314702657,S5F047
02692_01,10,7502227870532,RV0090
00886_01,1,7501287660312,1502251QA
00674_01,3,7501075713770,500246
00546_01,3,785120753349,5D1175
00021_01,1,7501165001800,5MXA008
02602_01,1,7502240450070,151015
00128_03,2,7501349015074,115Y779
02803_03,6,7501537163266,6010001
00628_11,5,7502216790179,15A153
00227_01,2,7501122960317,127474
01024_01,2,7501109901609,AC3617
