STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01304_01,1,7501092779278,11102966
01304_01,17,7501092779278,11174931
01301_01,2,7501092779278,11178490
01341_01,25,7501250813530,60123
00910_01,2,7501326008402,L047620
00910_01,2,7501326008402,m007335
02872_01,12,7501298204970,M54838
02691_09,4,7501537100612,5113002
00038_01,2,7501089800664,15120120
00038_01,3,7501089800664,16010131
00546_04,3,7501563310399,601370
01238_01,1,7501043111959,UM0257
01508_01,2,7501349027923,C15N466
01488_01,1,7501043133548,1601300016
00227_01,2,7501122960317,138720
02741_01,6,7501303457513,54266C
00415_01,1,008400000729,4J023
00884_01,2,7502227872123,rrc053
