ID,CANTIDAD,CB,LOTE
00442_01,10,7501122969808,129416
01906_01,6,7501836000194,14G040
03001_01,11,7503007822345,EC71094
02999_01,7,7503007822321,EC70932
00131_04,10,7501573900535,SK1523
00523_01,10,7501037950519,558410
00114_01,10,7501057005732,AA9419
02677_01,6,7501088607950,250948F
02807_01,3,7502211784241,R1511033
00334_01,10,7502009740374,153061
01922_01,10,7501109904143,FCZSU00
02481_01,3,7501088559112,AFA364
00641_01,4,7501089810205,15080112
02680_08,5,7501361605703,5MXA010
01555_01,5,300090050139,2BB
01945_01,1,7501075717860,650054
00253_01,1,7501109904167,AA8116
02597_03,1,75051549,15042112
02791_01,2,7501752514928,15045
02846_01,1,7503003134701,1405071
00344_01,2,7501089801159,15070090
00719_02,10,7501559605539,W42831
00095_02,10,75006471,800065
